OrderID,ProductID,Warehouse,OrderQuantity,LeadTimeDays,ShippingDelayDays,SupplierRating,OrderDate
12033,222,Kano_WH,142,10,0,2.7,2024-05-06
12034,239,Abuja_WH,270,18,9,3.6,2023-03-16
12035,115,Kano_WH,209,16,5,4.9,2023-11-28
12036,146,Lagos_WH,255,19,5,3.3,2024-08-21
12037,155,Lagos_WH,492,16,5,3.2,2024-05-27
12038,165,Lagos_WH,64,3,3,2.4,2023-02-08
12039,150,Abuja_WH,202,7,8,3.7,2023-10-27
12040,126,Kano_WH,203,6,4,,2023-01-21
12041,209,Kano_WH,16,11,0,1.4,2024-02-16
12042,165,Abuja_WH,24,5,3,2.0,2024-01-30
12043,161,Abuja_WH,87,9,9,3.4,2024-10-25
12044,170,Kano_WH,470,4,2,1.3,2024-10-13
12045,235,Abuja_WH,437,12,7,,2024-11-30
12046,265,Kano_WH,166,10,5,2.9,2024-08-01
12047,105,Kano_WH,123,3,9,4.2,2024-11-03
12048,219,Abuja_WH,11,23,9,3.1,2023-03-18
12049,158,Abuja_WH,195,7,6,2.5,2023-09-02
12050,118,Abuja_WH,336,2,9,1.6,2023-10-25
12051,178,Abuja_WH,275,25,1,1.8,2023-10-27
12052,283,Abuja_WH,477,8,0,3.1,2024-10-17
12053,255,Abuja_WH,482,13,1,4.2,2023-03-25
12054,237,Kano_WH,320,15,5,2.6,2023-08-12
12055,272,Lagos_WH,99,1,4,1.9,2023-08-03
12056,194,Abuja_WH,435,2,7,2.5,2024-12-02
12057,292,Kano_WH,463,27,3,,2023-07-10
12058,277,Kano_WH,461,18,2,3.1,2023-10-06
12059,259,Kano_WH,465,24,3,1.3,2024-04-09
12060,288,Kano_WH,22,27,8,4.4,2023-03-13
12061,243,Abuja_WH,174,19,7,4.1,2024-05-30
12062,233,Kano_WH,145,7,7,3.8,2024-01-11
12063,293,Lagos_WH,261,26,5,4.8,2023-05-31
12064,161,Abuja_WH,49,29,4,4.6,2023-02-03
12065,165,Lagos_WH,358,22,7,1.0,2024-04-25
12066,294,Lagos_WH,100,2,3,4.1,2023-09-27
12067,246,Kano_WH,146,16,9,3.3,2024-04-13
12068,103,Lagos_WH,471,25,5,2.7,2024-05-30
12069,220,Abuja_WH,134,16,8,2.1,2024-04-18
12070,142,Kano_WH,453,25,2,1.8,2023-02-15
12071,245,Abuja_WH,212,23,8,4.5,2024-07-02
12072,210,Abuja_WH,226,4,7,2.5,2024-12-05
12073,273,Lagos_WH,96,17,2,,2023-07-09
12074,208,Lagos_WH,403,14,6,3.9,2024-08-01
12075,145,Abuja_WH,464,8,4,4.1,2024-08-25
12076,248,Kano_WH,342,9,6,3.5,2024-08-14
12077,202,Abuja_WH,415,8,3,2.7,2024-07-20
12078,257,Lagos_WH,242,18,2,1.3,2024-02-24
12079,291,Abuja_WH,497,7,6,3.4,2024-06-18
12080,140,Lagos_WH,193,26,5,4.4,2024-06-27
12081,244,Abuja_WH,183,13,4,1.2,2024-12-18
12082,232,Lagos_WH,411,1,3,2.4,2023-05-03
12083,104,Abuja_WH,82,21,5,2.0,2023-02-08
12084,216,Lagos_WH,351,29,0,3.2,2024-05-16
12085,174,Kano_WH,126,8,7,1.0,2023-11-13
12086,275,Kano_WH,128,9,5,4.5,2024-10-04
12087,227,Kano_WH,324,26,4,4.2,2023-05-23
12088,203,Kano_WH,326,19,7,1.4,2023-01-08
12089,219,Abuja_WH,445,24,3,4.6,2023-03-31
12090,137,Abuja_WH,274,15,1,4.1,2023-12-06
12091,105,Lagos_WH,243,3,4,4.8,2024-07-15
12092,285,Abuja_WH,328,24,6,2.0,2023-03-07
12093,113,Abuja_WH,457,27,4,4.4,2023-06-26
12094,299,Lagos_WH,23,21,6,1.6,2024-02-05
12095,286,Abuja_WH,341,23,1,3.8,2023-10-24
12096,292,Kano_WH,241,11,0,1.3,2024-06-14
12097,188,Kano_WH,282,14,2,3.9,2023-08-19
12098,112,Abuja_WH,26,12,0,1.6,2024-04-04
12099,254,Abuja_WH,316,28,2,3.9,2023-01-11
12100,252,Lagos_WH,449,22,2,2.8,2023-03-01
12101,283,Abuja_WH,417,5,7,1.5,2023-01-21
12102,167,Kano_WH,251,2,4,3.3,2024-03-03
12103,286,Lagos_WH,342,25,2,1.1,2023-05-31
12104,194,Lagos_WH,122,23,4,1.9,2024-08-13
12105,276,Lagos_WH,45,7,7,2.2,2024-05-23
12106,117,Abuja_WH,327,5,9,5.0,2024-08-20
12107,175,Abuja_WH,27,3,9,4.2,2024-06-08
12108,102,Abuja_WH,231,25,0,2.2,2024-11-16
12109,156,Lagos_WH,389,10,6,2.5,2023-11-05
12110,233,Lagos_WH,64,11,4,2.8,2024-11-27
12111,168,Kano_WH,371,8,3,4.2,2024-11-25
12112,130,Kano_WH,388,6,2,3.7,2023-01-11
12113,107,Abuja_WH,133,28,6,3.2,2024-08-15
12114,109,Abuja_WH,435,12,9,2.8,2023-05-23
12115,102,Kano_WH,494,13,1,2.0,2023-06-17
12116,111,Kano_WH,330,2,7,2.8,2024-09-01
12117,191,Abuja_WH,279,23,3,4.1,2024-10-16
12118,205,Abuja_WH,275,21,9,2.8,2023-08-27
12119,193,Abuja_WH,389,16,1,3.1,2023-09-26
12120,118,Abuja_WH,270,24,1,2.4,2024-11-07
12121,248,Kano_WH,415,22,9,,2024-01-02
12122,113,Abuja_WH,242,26,0,4.0,2023-09-02
12123,202,Abuja_WH,358,13,9,4.7,2023-02-17
12124,174,Kano_WH,378,9,7,3.0,2024-03-17
12125,128,Kano_WH,252,13,7,1.6,2024-07-07
12126,213,Abuja_WH,489,15,5,4.1,2023-09-05
12127,106,Abuja_WH,360,8,1,4.0,2023-01-10
12128,148,Lagos_WH,174,23,2,3.7,2024-03-08
12129,292,Abuja_WH,170,17,8,,2023-04-14
12130,106,Abuja_WH,231,10,6,2.3,2024-08-16
12131,241,Kano_WH,112,9,4,4.0,2024-09-03
12132,115,Abuja_WH,106,24,4,4.9,2023-04-09
12133,198,Abuja_WH,19,17,6,2.9,2024-12-02
12134,243,Lagos_WH,457,29,0,1.7,2024-08-23
12135,184,Abuja_WH,195,17,0,1.9,2024-08-26
12136,240,Abuja_WH,200,19,2,2.0,2024-09-22
12137,181,Kano_WH,172,19,8,3.5,2023-06-20
12138,256,Lagos_WH,388,2,7,4.1,2023-10-30
12139,172,Abuja_WH,58,11,2,2.4,2023-05-25
12140,221,Lagos_WH,165,8,7,3.9,2023-03-27
12141,224,Abuja_WH,64,21,3,1.4,2024-02-14
12142,160,Abuja_WH,499,17,6,4.6,2024-02-17
12143,264,Kano_WH,146,1,1,1.3,2024-12-02
12144,208,Abuja_WH,498,18,4,4.2,2024-09-17
12145,116,Lagos_WH,468,7,4,3.8,2023-07-22
12146,130,Lagos_WH,182,9,4,3.6,2023-05-16
12147,158,Abuja_WH,420,25,8,1.2,2024-05-24
12148,187,Lagos_WH,425,9,8,3.1,2024-07-17
12149,210,Kano_WH,434,10,1,1.5,2024-09-26
12150,274,Lagos_WH,131,16,9,2.8,2023-04-13
12151,105,Lagos_WH,158,11,8,1.7,2024-09-01
12152,131,Abuja_WH,341,6,0,1.6,2023-01-10
12153,130,Lagos_WH,16,27,4,3.3,2023-03-21
12154,245,Kano_WH,287,12,9,2.1,2024-05-17
12155,217,Lagos_WH,105,21,0,4.1,2023-11-04
12156,108,Kano_WH,447,28,2,2.0,2024-11-28
12157,102,Kano_WH,76,10,9,2.3,2024-03-10
12158,225,Kano_WH,85,16,5,3.4,2023-03-11
12159,170,Kano_WH,195,26,9,1.0,2024-10-09
12160,253,Lagos_WH,470,27,8,4.4,2023-01-22
12161,240,Lagos_WH,351,24,3,1.4,2024-01-13
12162,261,Abuja_WH,457,22,1,1.1,2024-07-02
12163,142,Kano_WH,179,24,4,4.1,2024-12-03
12164,260,Abuja_WH,239,14,0,4.2,2023-04-18
12165,168,Kano_WH,318,17,9,3.5,2024-01-22
12166,263,Kano_WH,37,20,6,4.3,2023-06-22
12167,178,Kano_WH,67,26,1,4.7,2023-03-31
12168,220,Lagos_WH,270,5,7,1.9,2023-06-12
12169,167,Kano_WH,103,4,8,2.8,2024-05-04
12170,200,Kano_WH,192,29,1,2.6,2024-05-06
12171,226,Abuja_WH,489,22,1,1.7,2024-07-03
12172,146,Kano_WH,325,13,9,2.1,2024-03-25
12173,288,Abuja_WH,54,7,8,2.6,2023-05-04
12174,144,Lagos_WH,477,11,7,1.4,2024-04-10
12175,201,Lagos_WH,386,11,6,4.0,2024-07-06
12176,195,Kano_WH,413,24,0,3.4,2024-04-22
12177,183,Kano_WH,370,24,8,4.7,2023-08-24
12178,275,Abuja_WH,146,21,3,,2023-01-16
12179,140,Abuja_WH,272,24,5,3.6,2023-11-02
12180,265,Lagos_WH,144,12,1,4.1,2024-05-18
12181,203,Kano_WH,227,3,4,3.0,2024-02-24
12182,167,Kano_WH,362,12,0,4.9,2024-07-12
12183,110,Abuja_WH,59,3,4,1.2,2024-01-14
12184,115,Abuja_WH,232,1,7,3.1,2023-07-08
12185,204,Lagos_WH,117,10,4,2.3,2023-12-04
12186,164,Lagos_WH,23,1,6,4.9,2023-07-18
12187,298,Kano_WH,248,1,7,4.8,2023-09-24
12188,294,Abuja_WH,364,26,0,1.4,2024-11-16
12189,170,Lagos_WH,231,11,7,2.6,2023-07-23
12190,100,Abuja_WH,300,16,0,1.9,2023-05-04
12191,298,Lagos_WH,200,3,7,4.3,2023-09-10
12192,103,Kano_WH,28,24,9,4.6,2023-07-10
12193,181,Lagos_WH,338,25,1,4.5,2024-01-30
12194,136,Lagos_WH,324,3,3,2.4,2024-09-07
12195,241,Abuja_WH,347,29,0,2.2,2024-06-28
12196,178,Lagos_WH,329,29,0,3.7,2024-09-25
12197,124,Abuja_WH,202,8,3,4.7,2023-01-12
12198,181,Kano_WH,26,27,3,1.2,2024-01-23
12199,231,Kano_WH,223,13,3,1.2,2023-06-28
12200,293,Lagos_WH,277,16,7,2.6,2023-08-21
12201,270,Kano_WH,320,15,3,2.7,2024-08-18
12202,125,Abuja_WH,411,10,4,3.0,2024-07-26
12203,242,Abuja_WH,459,17,9,3.0,2023-02-12
12204,233,Lagos_WH,417,3,1,2.9,2023-03-13
12205,264,Kano_WH,240,14,9,4.1,2024-04-17
12206,226,Abuja_WH,141,1,9,4.1,2024-05-26
12207,270,Abuja_WH,96,26,8,4.0,2024-07-12
12208,141,Abuja_WH,13,9,6,2.3,2023-12-10
12209,112,Abuja_WH,286,19,0,1.1,2023-09-09
12210,243,Abuja_WH,36,26,3,4.3,2024-06-14
12211,141,Kano_WH,20,10,6,4.7,2024-05-27
12212,137,Lagos_WH,199,21,8,3.3,2023-10-26
12213,165,Lagos_WH,329,11,3,1.5,2023-02-24
12214,292,Abuja_WH,97,26,6,1.6,2023-06-18
12215,232,Kano_WH,164,26,7,4.4,2024-09-05
12216,129,Kano_WH,132,14,7,3.7,2023-07-10
12217,194,Abuja_WH,457,16,2,2.0,2023-11-14
12218,270,Kano_WH,45,7,4,1.7,2023-11-09
12219,131,Lagos_WH,100,9,6,2.2,2024-12-30
12220,294,Abuja_WH,256,13,5,2.2,2024-06-15
12221,294,Abuja_WH,485,7,7,4.3,2023-04-27
12222,141,Lagos_WH,71,1,1,4.6,2023-09-09
12223,225,Lagos_WH,440,23,7,2.0,2024-05-31
12224,104,Kano_WH,235,7,9,1.8,2024-08-05
12225,195,Kano_WH,393,2,8,3.2,2023-02-20
12226,286,Lagos_WH,331,23,2,3.3,2024-12-09
12227,122,Kano_WH,306,2,4,1.9,2024-05-18
12228,205,Lagos_WH,227,1,7,4.3,2023-08-28
12229,235,Kano_WH,438,9,4,4.7,2023-02-10
12230,295,Kano_WH,88,10,1,,2024-12-27
12231,169,Abuja_WH,262,10,9,4.0,2024-03-21
12232,118,Abuja_WH,33,5,3,3.0,2023-03-28
12233,205,Lagos_WH,412,7,9,,2024-02-29
12234,271,Lagos_WH,208,10,8,2.7,2023-10-02
12235,192,Lagos_WH,346,22,8,3.0,2024-06-24
12236,137,Kano_WH,77,24,9,3.3,2023-05-02
12237,271,Abuja_WH,493,26,7,1.1,2023-05-12
12238,233,Abuja_WH,305,3,5,3.8,2023-07-16
12239,102,Lagos_WH,103,12,4,3.0,2023-07-21
12240,179,Kano_WH,201,20,4,3.6,2024-10-15
12241,260,Lagos_WH,189,16,0,4.4,2024-03-01
12242,165,Abuja_WH,180,18,6,3.3,2023-07-03
12243,225,Abuja_WH,370,16,4,4.6,2023-01-04
12244,206,Abuja_WH,199,21,2,4.2,2024-01-02
12245,157,Abuja_WH,448,27,4,3.5,2024-12-27
12246,253,Lagos_WH,471,10,0,3.3,2024-02-08
12247,198,Lagos_WH,435,27,3,,2024-12-22
12248,127,Lagos_WH,452,1,9,4.5,2024-02-02
12249,270,Kano_WH,57,16,1,2.7,2023-09-06
12250,174,Abuja_WH,311,5,3,1.1,2024-12-03
12251,209,Lagos_WH,62,24,3,1.1,2023-12-27
12252,115,Lagos_WH,129,12,7,4.7,2023-12-24
12253,188,Abuja_WH,329,16,6,1.5,2024-08-21
12254,122,Lagos_WH,285,27,0,4.1,2023-08-11
12255,286,Kano_WH,135,22,2,4.4,2024-10-15
12256,202,Abuja_WH,422,14,7,3.2,2024-08-05
12257,134,Lagos_WH,499,10,2,4.4,2024-07-14
12258,224,Kano_WH,132,25,5,1.4,2024-11-18
12259,268,Lagos_WH,63,16,9,5.0,2024-10-24
12260,216,Abuja_WH,446,29,9,3.4,2024-12-17
12261,208,Abuja_WH,227,15,1,4.4,2024-11-27
12262,196,Abuja_WH,348,22,1,,2023-05-30
12263,249,Kano_WH,145,11,2,2.2,2024-09-26
12264,173,Abuja_WH,495,25,2,1.6,2024-10-19
12265,228,Abuja_WH,29,6,7,3.9,2024-05-21
12266,145,Kano_WH,458,27,1,1.1,2023-05-03
12267,201,Kano_WH,473,19,1,1.4,2024-08-09
12268,121,Abuja_WH,323,15,7,1.7,2024-06-02
12269,131,Kano_WH,74,27,4,3.8,2024-07-05
12270,257,Kano_WH,428,29,8,3.6,2023-04-20
12271,186,Lagos_WH,145,13,6,3.5,2023-12-15
12272,142,Lagos_WH,145,28,6,2.6,2024-07-30
12273,210,Abuja_WH,459,19,6,4.7,2023-06-16
12274,111,Lagos_WH,37,1,4,4.9,2024-07-27
12275,182,Abuja_WH,104,10,7,2.5,2023-02-03
12276,298,Kano_WH,437,24,7,3.1,2023-12-12
12277,254,Lagos_WH,25,11,2,3.8,2024-05-06
12278,253,Kano_WH,468,12,9,2.1,2024-09-28
12279,245,Lagos_WH,329,14,7,4.1,2024-03-18
12280,191,Lagos_WH,471,16,4,4.1,2024-09-29
12281,174,Lagos_WH,430,7,2,3.0,2023-10-12
12282,293,Kano_WH,133,21,8,2.7,2024-07-25
12283,180,Lagos_WH,42,4,3,3.6,2023-03-11
12284,288,Lagos_WH,17,16,5,1.1,2024-05-14
12285,273,Lagos_WH,242,28,9,4.4,2023-01-27
12286,128,Kano_WH,299,19,2,4.5,2023-11-20
12287,259,Abuja_WH,150,3,2,3.0,2024-08-02
12288,242,Lagos_WH,281,9,4,1.1,2023-12-30
12289,287,Lagos_WH,301,17,2,2.5,2024-03-02
12290,255,Lagos_WH,191,4,0,2.8,2024-09-09
12291,254,Abuja_WH,368,9,1,4.4,2023-10-20
12292,268,Abuja_WH,222,14,5,1.1,2023-06-27
12293,214,Kano_WH,346,25,1,3.0,2024-06-23
12294,146,Lagos_WH,48,26,9,2.8,2024-08-01
12295,132,Abuja_WH,128,25,7,1.9,2024-11-30
12296,143,Kano_WH,446,12,5,2.0,2024-08-29
12297,149,Abuja_WH,43,19,5,3.3,2024-12-02
12298,109,Lagos_WH,283,21,5,4.9,2024-08-23
12299,251,Abuja_WH,50,11,4,4.2,2024-04-26
12300,221,Abuja_WH,498,4,1,3.0,2024-07-12
12301,133,Abuja_WH,116,13,5,3.3,2023-08-14
12302,206,Lagos_WH,237,14,7,3.3,2024-12-21
12303,190,Abuja_WH,45,10,9,3.8,2023-11-21
12304,119,Lagos_WH,270,16,6,2.3,2024-03-20
12305,124,Kano_WH,37,20,2,3.7,2023-12-01
12306,154,Lagos_WH,442,20,5,2.0,2023-07-25
12307,270,Lagos_WH,206,6,7,4.2,2023-08-25
12308,280,Lagos_WH,333,12,6,4.8,2024-07-04
12309,277,Lagos_WH,140,16,0,,2024-12-20
12310,154,Lagos_WH,426,8,6,1.3,2023-10-06
12311,240,Abuja_WH,66,3,3,3.8,2024-03-08
12312,276,Kano_WH,189,15,9,4.7,2024-10-24
12313,223,Lagos_WH,332,29,2,4.8,2024-06-11
12314,237,Lagos_WH,465,18,7,4.6,2023-02-20
12315,191,Kano_WH,32,8,1,3.3,2024-07-15
12316,110,Lagos_WH,79,9,6,4.7,2023-12-02
12317,221,Abuja_WH,292,29,5,2.1,2023-03-07
12318,218,Kano_WH,351,23,7,1.6,2024-02-18
12319,183,Abuja_WH,427,20,3,2.9,2024-09-01
12320,199,Kano_WH,258,23,1,1.1,2024-05-02
12321,119,Abuja_WH,202,12,8,1.3,2023-02-04
12322,171,Kano_WH,301,28,2,3.4,2024-05-14
12323,178,Kano_WH,356,15,2,3.8,2024-09-27
12324,182,Abuja_WH,18,12,4,1.6,2024-03-18
12325,147,Abuja_WH,373,15,8,2.4,2023-05-05
12326,175,Lagos_WH,252,18,0,4.2,2024-06-22
12327,244,Kano_WH,34,3,3,1.8,2023-04-22
12328,132,Kano_WH,87,29,9,4.6,2023-06-13
12329,119,Kano_WH,411,26,3,3.2,2023-06-07
12330,273,Abuja_WH,475,18,1,3.4,2024-11-24
12331,130,Abuja_WH,250,8,7,1.6,2024-07-26
12332,201,Kano_WH,292,18,0,1.2,2023-07-12
12333,278,Lagos_WH,18,10,9,2.5,2024-08-31
12334,219,Kano_WH,213,7,5,1.4,2024-01-21
12335,182,Kano_WH,193,2,6,1.4,2023-01-12
12336,118,Kano_WH,124,18,2,4.8,2023-11-23
12337,161,Lagos_WH,56,10,9,1.3,2024-10-04
12338,271,Kano_WH,347,19,4,2.8,2024-10-08
12339,265,Abuja_WH,186,3,9,4.0,2023-01-07
12340,148,Lagos_WH,151,6,1,2.1,2024-11-30
12341,164,Lagos_WH,83,10,5,3.0,2023-04-23
12342,110,Abuja_WH,93,20,2,2.4,2023-01-16
12343,126,Lagos_WH,287,25,0,3.9,2024-07-26
12344,157,Lagos_WH,196,10,2,3.4,2023-07-06
12345,291,Lagos_WH,171,13,8,2.2,2023-08-27
12346,292,Kano_WH,313,21,6,3.5,2024-04-24
12347,114,Abuja_WH,367,24,3,1.0,2023-06-05
12348,181,Abuja_WH,462,10,6,3.7,2024-12-07
12349,188,Abuja_WH,39,19,5,4.1,2024-09-27
12350,100,Lagos_WH,10,14,9,1.0,2024-07-13
12351,118,Kano_WH,35,29,1,3.6,2023-09-02
12352,283,Kano_WH,208,11,1,3.2,2023-08-28
12353,291,Lagos_WH,272,25,9,2.1,2024-12-02
12354,133,Kano_WH,374,20,2,1.8,2023-05-30
12355,163,Abuja_WH,14,16,5,4.8,2024-08-10
12356,109,Abuja_WH,93,3,3,2.9,2023-05-23
12357,175,Lagos_WH,379,13,7,2.8,2023-11-09
12358,287,Lagos_WH,457,14,6,4.4,2023-01-15
12359,266,Lagos_WH,357,9,5,2.5,2023-11-28
12360,165,Lagos_WH,32,4,7,4.2,2024-02-02
12361,131,Abuja_WH,145,22,4,3.3,2023-03-07
12362,150,Lagos_WH,440,14,8,1.8,2024-07-27
12363,125,Abuja_WH,217,11,0,2.4,2023-10-10
12364,156,Kano_WH,178,12,3,1.1,2023-02-13
12365,183,Kano_WH,441,23,1,2.8,2023-07-28
12366,287,Lagos_WH,335,17,5,4.7,2023-01-25
12367,282,Abuja_WH,468,16,8,3.5,2023-02-12
12368,105,Abuja_WH,342,1,7,3.3,2024-08-04
12369,106,Kano_WH,203,16,8,4.5,2024-12-02
12370,293,Lagos_WH,442,18,5,,2023-12-29
12371,180,Lagos_WH,395,26,8,4.2,2023-06-02
12372,253,Kano_WH,328,11,5,3.8,2023-12-23
12373,217,Lagos_WH,406,29,4,3.1,2024-01-09
12374,194,Kano_WH,220,2,2,2.5,2024-01-04
12375,218,Kano_WH,426,16,2,1.1,2024-02-04
12376,197,Abuja_WH,238,16,8,3.5,2023-05-16
12377,223,Kano_WH,384,27,8,3.3,2023-01-28
12378,177,Kano_WH,290,4,2,2.1,2023-04-17
12379,232,Kano_WH,377,1,2,2.1,2023-12-14
12380,100,Kano_WH,495,26,4,2.4,2024-03-17
12381,183,Lagos_WH,247,11,0,2.7,2023-06-07
12382,229,Abuja_WH,113,7,0,4.0,2023-09-10
12383,224,Abuja_WH,347,6,1,3.0,2024-01-22
12384,200,Lagos_WH,38,6,9,1.6,2024-11-15
12385,164,Lagos_WH,46,25,5,4.6,2023-03-10
12386,109,Lagos_WH,340,20,1,2.9,2024-09-02
12387,277,Lagos_WH,246,24,1,4.6,2023-07-03
12388,150,Abuja_WH,178,18,5,3.5,2024-10-05
12389,168,Abuja_WH,376,8,8,3.3,2024-05-23
12390,140,Abuja_WH,246,26,3,2.3,2023-01-25
12391,285,Abuja_WH,352,28,2,4.9,2024-04-01
12392,176,Lagos_WH,96,6,1,4.9,2023-10-30
12393,167,Kano_WH,44,8,1,2.5,2024-09-21
12394,123,Kano_WH,12,29,1,4.2,2023-06-18
12395,211,Lagos_WH,184,3,6,2.1,2024-05-14
12396,155,Lagos_WH,199,4,5,3.5,2023-01-05
12397,221,Abuja_WH,283,6,6,3.7,2023-06-16
12398,135,Kano_WH,322,17,2,4.9,2023-05-04
12399,101,Abuja_WH,445,1,1,2.2,2023-11-24
12400,155,Kano_WH,82,15,4,3.8,2024-06-22
12401,111,Abuja_WH,57,29,9,2.0,2023-04-18
12402,239,Kano_WH,29,15,6,1.1,2024-04-27
12403,184,Abuja_WH,481,12,1,2.1,2024-02-12
12404,171,Abuja_WH,218,24,5,4.1,2023-11-03
12405,249,Lagos_WH,118,6,8,4.7,2023-10-10
12406,161,Abuja_WH,405,27,7,1.1,2023-06-17
12407,291,Kano_WH,426,20,4,1.4,2024-10-16
12408,127,Abuja_WH,136,5,4,2.5,2024-08-06
12409,188,Abuja_WH,463,7,3,2.8,2024-11-01
12410,255,Lagos_WH,103,8,4,4.7,2023-04-18
12411,103,Kano_WH,79,10,4,1.1,2024-03-31
12412,272,Lagos_WH,441,7,9,4.4,2023-08-10
12413,189,Abuja_WH,288,7,6,3.1,2023-12-10
12414,240,Kano_WH,55,23,1,1.9,2024-11-08
12415,182,Abuja_WH,144,14,4,1.8,2023-01-02
12416,197,Abuja_WH,35,4,1,1.2,2023-02-01
12417,103,Kano_WH,204,21,4,2.0,2023-09-07
12418,288,Lagos_WH,322,29,7,4.9,2024-03-07
12419,183,Lagos_WH,290,10,4,4.2,2023-04-07
12420,204,Lagos_WH,204,13,2,4.8,2024-08-21
12421,253,Abuja_WH,216,7,4,1.6,2024-05-23
12422,207,Kano_WH,133,3,9,3.2,2023-04-03
12423,201,Kano_WH,176,5,0,4.7,2023-06-23
12424,193,Lagos_WH,77,23,9,3.6,2023-10-15
12425,233,Lagos_WH,175,18,1,1.1,2023-02-18
12426,176,Abuja_WH,438,7,0,1.3,2023-04-22
12427,217,Kano_WH,127,6,0,2.7,2023-08-09
12428,283,Lagos_WH,329,8,0,2.5,2023-09-25
12429,180,Abuja_WH,222,7,5,4.6,2024-09-22
12430,254,Abuja_WH,319,20,6,4.1,2023-09-03
12431,134,Lagos_WH,231,29,4,1.5,2024-07-03
12432,285,Kano_WH,208,21,3,1.4,2024-01-21
12433,183,Lagos_WH,406,11,3,4.5,2023-07-18
12434,290,Abuja_WH,187,10,6,2.8,2023-03-03
12435,214,Abuja_WH,52,26,3,1.7,2023-05-16
12436,260,Abuja_WH,144,6,4,4.6,2024-02-07
12437,194,Lagos_WH,480,18,5,3.9,2024-12-02
12438,200,Kano_WH,181,26,4,1.7,2023-07-01
12439,220,Lagos_WH,457,6,6,3.4,2024-05-16
12440,182,Lagos_WH,16,10,5,2.9,2023-01-15
12441,196,Lagos_WH,19,9,5,2.0,2023-07-11
12442,180,Lagos_WH,87,8,5,3.4,2024-01-31
12443,132,Abuja_WH,206,12,2,2.8,2024-08-01
12444,199,Kano_WH,199,29,5,3.2,2023-07-22
12445,168,Abuja_WH,412,21,8,2.2,2023-03-29
12446,139,Abuja_WH,238,21,1,3.9,2023-09-22
12447,146,Kano_WH,42,27,2,2.7,2023-01-21
12448,226,Lagos_WH,327,10,2,4.3,2024-02-20
12449,272,Lagos_WH,126,12,2,3.4,2023-07-31
12450,126,Lagos_WH,87,29,5,2.0,2024-09-05
12451,234,Kano_WH,460,26,1,2.4,2024-09-11
12452,285,Lagos_WH,400,18,8,2.1,2023-09-29
12453,113,Kano_WH,39,26,4,,2023-11-03
12454,231,Lagos_WH,133,19,2,1.7,2023-12-14
12455,213,Kano_WH,356,28,7,2.9,2023-12-08
12456,261,Abuja_WH,45,14,6,1.2,2023-09-07
12457,212,Kano_WH,367,13,4,2.4,2023-10-26
12458,179,Kano_WH,383,25,5,2.7,2024-04-15
12459,190,Abuja_WH,212,7,0,4.1,2024-10-08
12460,265,Kano_WH,116,27,5,4.4,2023-09-25
12461,247,Kano_WH,109,8,9,4.1,2023-10-02
12462,145,Lagos_WH,153,15,7,1.3,2024-01-09
12463,246,Kano_WH,90,27,9,3.6,2023-03-05
12464,228,Kano_WH,28,9,5,4.4,2024-06-20
12465,250,Lagos_WH,172,3,3,3.1,2023-08-09
12466,289,Abuja_WH,303,5,0,4.7,2024-12-11
12467,211,Abuja_WH,195,4,8,4.5,2024-11-29
12468,127,Kano_WH,193,20,4,4.5,2024-10-21
